,0,1,2,3,4,5,6,7,8,9
0,4839,378,1494,1256,127,322,301,118,95,76
1,3206,3711,687,285,296,471,92,156,128,23
2,597,2885,2158,207,364,463,228,242,37,83
3,3082,1208,2165,336,28,272,138,74,104,94
4,2272,1930,402,1447,987,60,272,113,27,20
5,3004,2878,1369,207,113,442,363,102,106,2
6,3070,3543,1523,1299,312,547,113,13,117,38
7,2421,2208,2256,412,991,205,132,98,38,7
8,1571,1204,492,1467,593,335,122,69,105,61
9,622,3539,988,655,381,576,82,101,71,75
10,181,2241,2126,1509,94,208,72,92,2,95
11,4788,283,1462,448,641,83,214,183,28,13
12,898,1829,1508,240,724,321,338,16,36,12
13,4805,1579,1933,1322,987,376,0,214,134,12
14,5719,155,1051,1447,82,397,64,13,67,14
15,3988,3435,1417,435,635,295,287,11,77,97
16,3225,219,474,1417,426,70,71,161,103,51
17,3501,3171,1440,1388,214,371,360,75,153,95
18,2242,3136,450,1204,60,161,271,130,47,59
19,2681,940,974,72,137,385,55,236,110,73
20,1253,1657,1016,1549,849,155,391,174,112,51
21,584,2882,1826,356,966,85,318,108,11,60
22,807,1284,430,412,16,88,320,180,42,7
23,1972,61,599,634,286,80,338,34,90,35
24,3514,2055,1232,1150,917,261,283,126,103,92
25,1409,1932,2070,579,495,173,65,135,88,0
26,1445,155,53,1105,906,476,321,179,137,49
27,1654,1708,1254,978,943,504,45,150,20,14
28,607,2639,2239,64,962,506,230,18,7,17
29,1823,1766,450,1143,258,355,280,7,25,90
30,4453,1589,1971,1236,777,592,361,230,150,54
31,2324,948,784,1580,131,614,383,50,118,24
32,908,2213,1476,315,848,81,140,93,31,77
33,3268,2903,2158,404,463,205,392,205,47,66
34,961,3245,2084,365,135,58,386,147,74,64
35,1226,3336,1024,186,624,531,72,192,16,42
36,5481,2968,2086,72,132,136,175,106,11,1
37,6021,1050,34,382,656,77,183,75,146,46
38,5056,1806,1324,473,770,586,312,85,148,33
39,1525,540,630,314,623,435,248,5,122,83
40,1911,510,1377,1219,36,354,38,73,23,54
41,5746,3270,813,454,476,223,212,102,72,34
42,2616,3411,290,359,742,295,307,219,41,70
43,2576,1638,477,117,423,267,329,131,145,96
44,110,1552,1929,140,726,599,257,246,88,47
45,4284,1700,2147,162,413,371,238,141,106,65
46,1530,2890,2056,1185,831,158,269,204,100,77
47,6243,252,521,939,97,483,210,63,13,93
48,5915,76,576,686,518,521,360,109,25,82
49,1555,3362,2105,519,110,61,85,4,10,18
50,591,1879,1910,462,256,45,193,39,59,80
51,1332,2175,497,1435,867,517,302,176,5,25
52,366,1046,2153,144,772,102,292,167,0,68
53,2410,609,186,1180,742,402,176,93,94,81
54,410,1933,514,101,134,137,223,219,73,73
55,592,1180,1396,856,362,80,130,124,76,26
56,3614,2276,1433,24,133,416,85,208,71,62
57,3184,3942,840,897,374,190,245,230,58,8
58,3574,1297,1700,1413,160,119,254,88,41,75
59,928,60,1892,501,314,126,259,87,84,72
60,3273,1895,1753,21,222,491,253,130,39,77
61,323,2723,2409,155,938,490,281,43,113,0
62,1629,309,430,668,307,248,6,176,60,22
63,3576,31,2343,539,890,390,319,161,144,65
64,1068,3731,63,1410,582,189,244,213,67,67
65,5524,1620,1738,826,883,418,116,77,132,10
66,344,358,1176,405,475,322,104,98,132,64
67,346,2458,1602,191,113,180,42,9,45,30
68,2401,256,2158,282,678,300,45,166,38,2
69,6273,3009,170,90,152,609,231,31,18,47
70,1924,831,1666,933,981,601,214,179,28,69
71,1600,1550,871,1188,701,474,222,101,56,80
72,343,669,1292,1575,57,90,296,124,149,72
73,2966,1263,1757,1204,406,341,94,179,107,2
74,3896,3364,2276,1100,214,190,228,4,37,85
75,4185,3626,552,1429,496,628,46,174,110,45
76,3970,3263,1822,568,879,353,344,68,135,68
77,715,1076,2129,1171,556,150,374,223,98,75
78,1166,1433,779,997,91,448,240,248,66,8
79,1897,3418,698,1097,664,412,383,101,59,0
80,1363,1653,668,730,907,385,322,64,93,27
81,247,926,2286,1164,762,481,167,93,53,3
82,5540,812,197,312,387,512,147,108,139,23
83,2564,1777,1470,612,138,490,43,99,56,55
84,5802,32,1524,144,698,347,350,124,43,44
85,1103,1304,1409,123,590,287,231,218,156,13
86,1811,357,706,1091,205,358,230,204,56,40
87,3615,566,1551,608,215,141,172,48,3,64
88,2421,2072,593,792,571,380,51,125,144,26
89,2420,3096,369,1387,307,278,267,50,92,35
90,2543,1547,1347,58,580,284,261,55,138,16
91,5125,3465,1163,995,88,527,76,77,19,48
92,5526,2720,1185,1555,561,27,236,10,84,61
93,5861,1297,149,1201,291,148,147,122,59,46
94,2599,3714,1618,1508,584,542,292,114,8,12
95,3481,1602,796,335,821,383,256,231,108,13
96,5564,515,2456,641,904,282,74,144,103,36
97,2450,1748,2241,916,323,235,93,121,48,33
98,4489,330,1081,1405,516,274,16,133,54,54
99,1227,979,1011,350,532,348,282,105,17,2
100,1747,2871,1069,506,724,614,197,247,34,31
101,1889,878,1872,1259,520,325,13,206,47,58
102,3553,123,518,378,963,478,87,166,37,46
103,2436,2398,510,900,953,364,80,247,24,94
104,2632,587,2249,1034,601,410,154,222,111,74
105,4463,2724,1053,1005,309,19,322,37,6,25
106,1300,2275,1552,741,872,588,108,200,5,2
107,1519,2151,957,874,912,453,79,79,113,95
108,3002,1054,553,1242,900,473,115,204,64,71
109,2409,2186,218,722,737,335,234,2,93,19
110,2588,1403,1732,1407,917,49,80,38,43,29
111,3770,2989,1591,500,326,571,367,176,113,27
112,3215,515,2137,9,512,112,316,132,91,43
113,1262,8,1173,819,458,2,164,31,2,52
114,3612,688,1180,335,748,534,108,126,109,14
115,2598,880,1228,185,583,27,277,0,69,64
116,4257,170,727,864,448,612,358,145,124,35
117,970,3449,344,1124,29,474,8,165,53,85
118,3252,1553,1551,943,303,559,243,119,41,27
119,1805,1708,1993,840,472,272,43,218,54,3
120,3407,3406,2324,1164,922,554,129,137,109,9
121,1328,256,1111,1169,93,388,37,40,30,37
122,3572,1739,1659,64,323,138,24,141,81,33
123,2924,1273,1368,508,6,240,197,86,55,7
124,2361,949,347,100,104,596,11,21,70,47
125,3261,880,1712,13,834,570,73,31,60,1
126,3064,1946,1110,1062,880,306,93,12,114,0
127,6116,1153,54,1308,87,186,28,18,61,42
128,979,1993,1301,1199,907,548,164,58,92,65
129,3880,591,491,588,434,223,263,246,57,22
130,5798,706,1379,700,431,570,340,226,49,5
131,2969,85,879,693,140,515,140,42,155,97
132,732,1431,79,342,498,348,360,223,55,39
133,2926,2428,2024,1223,21,551,251,49,70,4
134,2738,1717,440,818,13,312,97,88,67,11
135,2318,2051,1008,799,903,450,29,191,67,61
136,219,1439,2085,322,180,609,248,183,34,22
137,1939,61,382,79,653,352,377,194,84,94
138,3793,2965,1637,469,41,307,342,201,61,29
139,1186,2134,2323,800,215,272,155,180,18,38
140,2201,441,1829,869,90,272,76,10,81,41
141,3298,2129,1961,1535,490,545,233,162,105,96
142,4542,2603,239,1068,935,140,64,205,37,23
143,3434,1929,558,1429,39,381,46,178,5,83
