,0,1,2,3,4,5,6,7,8,9
0,200,844,2138,43,683,580,45,188,48,46
1,3225,1675,118,353,967,7,163,117,36,22
2,991,3555,1593,11,461,280,345,224,94,54
3,5919,848,32,290,393,226,92,191,84,9
4,3305,2434,343,438,484,152,92,164,9,90
5,3179,3202,859,1121,899,121,324,186,5,91
6,1840,1045,720,112,431,558,33,220,25,14
7,5861,2315,1973,1105,295,68,389,167,41,4
8,315,2618,145,1029,456,334,226,66,97,92
9,5910,2434,1304,604,199,405,228,217,151,75
10,4839,372,2181,150,931,57,374,59,105,55
11,5970,2619,2127,1013,963,300,142,1,37,66
12,3650,545,983,1555,705,76,107,97,50,70
13,5054,926,1195,528,442,234,277,131,20,67
14,2926,3933,284,572,784,348,269,241,146,79
15,70,1542,777,1416,46,265,155,48,138,61
16,4536,3315,433,1565,579,518,388,121,77,4
17,764,1389,2426,990,433,544,15,227,120,67
18,3400,3885,1279,253,558,84,394,47,66,42
19,6298,2630,651,908,138,237,16,224,16,67
20,252,1903,2109,1379,409,387,324,98,153,54
21,3593,1670,2063,951,719,189,25,0,133,87
22,3058,118,727,1406,816,509,132,170,27,71
23,2384,321,2319,456,40,283,122,215,68,77
24,495,3740,1601,677,601,454,249,37,9,30
25,882,3664,865,730,775,133,209,147,106,3
26,5167,17,1568,866,546,138,339,212,102,83
27,1756,1283,1602,0,469,600,8,74,46,36
28,2016,1087,101,553,933,619,246,14,128,84
29,1824,1806,86,1210,334,525,30,93,141,70
30,222,1285,2184,103,461,89,264,214,52,50
31,281,2492,1483,732,663,455,16,32,116,97
32,2061,1130,785,799,104,114,306,102,91,21
33,3176,2360,1200,337,842,57,11,105,7,48
34,3224,555,772,1192,369,149,135,132,117,8
35,3199,1193,592,1354,338,285,223,101,41,96
36,3516,564,1238,8,468,238,387,60,28,12
37,2327,3747,1910,280,767,445,54,151,30,23
38,4744,3826,1129,45,55,423,393,119,62,50
39,21,2849,1799,282,897,520,72,170,88,79
40,2796,1134,1160,520,739,619,247,13,145,49
41,3048,1499,2258,351,705,585,333,144,19,53
42,462,2989,414,665,8,152,212,3,38,76
43,3535,147,717,969,385,445,135,164,103,33
44,5376,581,1103,628,442,98,74,13,20,67
45,4716,2410,58,70,453,86,129,18,142,79
46,2838,1979,1757,289,847,406,38,155,25,16
47,1745,1688,1365,165,285,288,263,247,137,58
48,2206,354,921,1462,388,452,246,133,114,53
49,4727,3949,1568,224,66,381,125,234,97,9
50,6063,3642,2300,1041,709,406,184,11,129,33
51,1561,1050,2389,97,742,80,363,22,26,39
52,5667,1157,2084,1244,784,523,211,92,57,69
53,2157,865,2395,415,269,248,169,138,18,55
54,3723,1241,1888,681,262,103,1,232,45,62
55,4771,779,2085,1477,35,561,359,45,46,42
56,3378,850,2179,591,938,70,154,239,25,59
57,756,1558,1546,1311,327,459,16,57,123,26
58,5729,1575,379,511,446,155,119,82,126,37
59,2703,2642,1777,540,103,201,375,122,117,37
60,5442,2290,1248,472,318,241,181,173,54,60
61,3413,1770,1133,1401,473,235,13,108,116,37
62,3222,2880,1505,1317,324,179,228,21,87,54
63,5689,3560,2508,628,199,55,372,60,19,90
64,2435,2010,1033,130,575,359,77,116,98,44
65,663,1947,807,933,925,200,135,155,41,81
66,2249,3279,1021,940,292,371,327,233,12,89
67,875,259,1669,1180,481,15,56,39,117,36
68,2602,889,419,1002,889,338,114,104,7,79
69,1898,3056,414,950,820,276,279,75,120,7
70,4663,2982,440,17,767,196,6,83,14,85
71,3601,1606,1461,68,297,311,379,17,72,49
72,584,1726,2351,30,270,57,59,111,135,20
73,2558,1636,47,998,370,566,230,88,134,11
74,373,1439,161,1038,149,263,50,36,25,26
75,147,459,2094,238,982,264,260,191,123,26
76,743,1654,1431,1250,735,262,120,192,82,6
77,2603,297,739,1513,980,29,141,25,121,72
78,3304,3788,880,493,262,535,314,184,18,16
79,2244,57,2314,640,704,161,193,221,146,11
80,1004,1460,2495,643,606,8,389,130,23,79
81,2520,2819,61,721,109,479,99,93,63,55
82,2583,2903,2042,688,43,305,53,179,139,0
83,4473,2826,1871,1360,111,562,370,90,45,85
84,2861,1224,1606,667,955,155,266,127,60,51
85,5619,2547,1906,614,803,427,196,131,108,80
86,84,839,2317,804,253,526,300,129,31,58
87,5703,65,1116,572,360,389,210,31,31,6
88,838,2658,741,808,796,285,220,137,66,71
89,2889,1465,2173,203,101,196,159,223,155,86
90,5650,701,2495,681,477,353,52,191,27,21
91,2410,411,819,1485,527,333,202,28,11,27
92,6075,476,392,265,68,543,105,211,142,25
93,1149,623,1564,990,245,593,162,161,106,79
94,1230,46,420,1254,111,571,290,83,98,94
95,2765,2595,878,1028,198,149,261,198,142,24
96,5825,1475,1630,1530,704,501,83,141,59,55
97,2673,65,1870,978,427,244,281,136,64,20
98,2284,180,479,236,20,572,367,110,134,1
99,3292,2168,1667,160,639,157,79,92,22,98
100,5700,1806,1455,421,836,404,94,98,27,23
101,3156,1384,1742,282,872,514,236,33,95,2
102,2498,1081,22,688,140,434,231,53,95,15
103,577,423,966,1405,6,170,359,132,108,56
104,115,346,575,62,832,213,114,130,39,49
105,1397,1578,1992,462,132,140,59,188,82,82
106,686,394,607,194,755,194,85,240,35,62
107,4630,2056,328,155,519,257,334,239,115,2
108,3528,2562,459,601,60,467,132,229,0,17
109,3450,3153,867,103,916,244,142,151,156,88
110,3489,1749,1490,1367,652,327,283,21,132,25
111,650,3415,1624,1403,382,141,29,21,8,98
112,4297,280,182,1040,905,346,69,218,154,30
113,119,1020,455,274,56,599,396,82,78,9
114,6074,883,559,1382,346,515,45,156,32,43
115,304,3334,1887,541,933,172,327,36,49,57
116,5794,533,806,1266,18,546,45,199,137,5
117,3768,728,50,690,186,233,84,137,64,29
118,2220,3285,1011,1298,124,147,232,99,17,30
119,118,2315,626,899,358,362,142,47,103,89
120,6297,1410,1703,287,592,307,332,172,128,19
121,1948,1234,148,283,296,475,110,189,75,67
122,5898,3913,975,1141,39,596,33,109,133,63
123,1710,315,650,204,588,21,93,8,118,22
124,2502,2911,1282,766,838,583,77,179,130,57
125,2215,1,1765,601,913,569,360,53,73,28
126,1734,2913,1313,1010,134,300,127,36,113,39
127,1760,2071,181,1020,309,220,133,4,32,68
128,3010,1311,2504,1108,223,436,74,40,70,67
129,268,1481,1050,351,239,25,253,64,16,68
130,2582,3086,1091,1043,881,414,384,44,5,25
131,5760,2423,2053,1240,370,241,336,36,24,82
132,1013,1751,1528,731,699,266,337,68,38,27
133,1898,742,1006,1544,996,76,13,208,21,11
134,3747,1575,298,1170,270,583,230,142,49,86
135,4578,3318,2470,679,152,276,145,137,5,10
136,854,3392,516,185,960,74,111,20,82,79
137,3298,1531,121,1306,480,310,265,237,149,27
138,1974,1734,564,8,240,486,291,154,145,80
139,4854,49,1450,1018,199,318,223,247,44,82
140,1542,3182,831,1575,361,526,378,130,102,87
141,4812,658,2,1119,637,171,125,107,116,74
142,375,1005,260,1143,760,330,170,104,5,61
143,2698,2642,2204,1556,615,465,3,153,47,27
144,3294,448,2067,166,433,421,383,130,12,98
145,4630,2991,1994,1305,326,551,70,186,139,83
146,3383,2938,1103,1097,156,342,106,131,26,96
147,3688,1264,132,532,181,278,130,103,1,75
148,2281,2942,2504,766,564,588,193,244,101,45
149,48,2823,639,618,678,282,12,169,55,36
150,868,1357,2415,239,262,343,256,69,59,70
151,1553,1340,555,829,184,156,145,163,15,79
152,723,598,1845,1174,283,139,272,194,152,42
153,2957,3841,1591,520,877,235,28,11,54,25
154,905,1805,1417,490,765,492,35,139,69,7
155,937,331,1253,741,300,221,125,242,111,66
156,3275,2133,875,927,930,543,34,161,79,67
157,4291,3889,1780,40,828,337,267,74,65,6
158,900,3707,1553,152,350,331,169,24,90,48
159,3991,3247,1262,1268,912,257,90,214,148,82
160,2501,1939,1872,279,289,493,234,62,74,57
161,5897,40,1366,1086,417,178,349,117,24,88
162,3041,3545,577,364,419,244,153,103,33,1
163,5917,3384,2390,1022,70,612,219,17,59,64
164,2398,3157,1398,1570,834,412,193,129,138,61
165,935,2599,1122,213,747,184,22,104,120,94
166,1934,1013,2315,783,22,323,353,30,151,10
167,5606,1586,2349,1251,499,15,101,169,126,67
168,488,983,1254,694,286,112,2,240,45,47
169,316,570,1815,274,607,509,33,127,97,84
170,436,1784,923,991,801,362,198,62,151,96
171,793,347,1016,1295,997,71,155,201,52,41
172,105,244,790,319,717,166,343,28,86,50
173,2861,3437,250,296,340,132,0,194,95,10
174,3084,1529,67,406,138,605,40,67,144,39
175,5792,3029,1844,1555,455,103,47,40,123,43
176,3215,715,1863,1556,880,146,87,2,12,1
177,3677,1091,368,1185,58,488,122,125,138,1
178,2830,2119,958,1246,706,230,316,204,72,60
179,1078,192,2226,62,453,129,57,105,145,31
180,1027,1939,899,769,229,8,311,229,156,40
181,2860,1718,1890,1562,630,324,226,109,18,5
182,3590,400,2434,473,219,294,155,105,15,90
183,2891,2387,392,1009,496,114,332,222,28,16
184,4005,3393,1919,0,605,242,82,20,74,20
185,162,630,797,1283,283,100,290,132,134,50
186,3393,2572,1680,400,817,106,15,141,98,44
187,4138,2654,374,704,890,158,279,244,104,38
188,3219,1871,2098,403,570,621,142,31,34,69
189,756,3459,168,273,374,145,255,89,14,79
190,6215,2441,1099,912,300,70,3,8,154,97
191,2653,959,1839,365,372,366,389,135,23,73
192,5625,2121,1070,200,676,314,254,47,30,36
193,1049,447,1419,679,140,206,125,241,35,2
194,1977,3423,1718,660,179,568,248,46,73,57
195,1797,1013,2033,526,400,390,155,88,43,89
196,3050,2343,1794,694,310,546,140,206,84,9
197,6305,2694,73,252,634,94,118,152,61,7
198,3454,999,2492,1069,104,225,3,167,105,31
199,903,782,1223,1445,637,611,47,151,57,35
200,383,830,1069,875,700,188,84,126,116,66
201,3849,3027,1510,718,178,49,136,35,129,14
202,665,3814,765,1282,679,460,299,18,34,4
203,835,2745,2510,1249,508,5,396,36,0,6
204,1568,2337,2255,719,112,345,256,239,67,25
205,211,1959,0,361,179,339,383,163,75,81
206,1246,2004,1972,180,402,77,229,80,97,98
207,1689,1585,625,123,658,438,277,106,118,91
208,4703,464,2172,875,376,286,326,94,49,31
209,5658,3273,1145,853,259,17,250,192,24,18
210,817,572,1846,936,525,129,325,28,37,2
211,1368,1028,1535,558,16,245,283,232,78,89
212,5488,1491,497,1253,901,56,211,249,79,45
