,0,1,2,3,4,5,6,7,8,9
0,411,1430,100,358,203,21,8,17,15,7
1,945,2474,170,152,289,76,22,0,9,6
2,4669,1050,390,265,277,76,72,21,14,7
3,2158,490,655,371,244,152,6,37,6,2
4,301,2442,726,1,170,142,6,35,7,4
5,3771,1293,336,435,206,91,69,21,14,1
6,1433,103,1081,518,128,27,48,32,7,3
7,2289,2502,371,101,54,1,59,29,8,3
8,4436,2039,1144,582,135,65,72,36,1,3
9,2863,1099,286,572,99,131,1,6,2,3
10,4220,163,905,119,165,29,36,29,0,6
11,165,63,879,190,80,57,64,33,14,1
12,1677,1369,70,421,109,31,23,31,12,0
13,4589,2272,254,539,89,151,64,14,2,4
14,4139,1980,1038,423,228,5,77,12,3,3
15,1002,1923,212,563,220,109,72,30,4,0
16,3798,153,1048,320,196,89,36,26,0,5
17,4086,1524,1101,353,154,93,63,37,5,6
18,546,212,142,366,225,26,11,4,1,8
19,2459,1317,439,577,231,3,44,34,2,2
20,499,1703,964,360,275,57,54,32,5,8
21,1488,466,1117,484,45,27,35,28,5,1
22,2504,877,369,275,119,19,61,24,13,1
23,2752,2121,342,343,237,74,19,27,3,3
24,4571,2,71,602,45,141,13,18,6,6
25,942,1655,508,85,295,134,3,12,9,3
26,261,1026,423,396,116,30,46,13,10,5
27,2455,457,765,620,60,104,74,30,1,4
28,4567,2466,263,550,211,4,50,12,8,2
29,369,983,47,239,43,16,55,32,12,3
30,688,140,989,368,17,153,51,24,13,2
31,4498,434,1185,311,300,152,46,26,16,3
32,4064,1804,1213,357,48,73,50,15,12,5
33,1887,1707,633,285,137,105,22,24,0,1
34,4684,727,645,184,176,112,38,38,13,2
35,1684,1916,29,14,272,104,15,28,17,7
36,4570,1938,784,596,8,2,73,12,10,1
37,3321,1001,144,96,162,110,7,25,11,1
38,1447,1965,1052,123,156,128,64,36,3,6
39,82,2403,37,18,282,42,33,35,14,2
40,3494,584,585,150,64,115,34,26,13,5
41,585,1030,50,86,164,12,25,3,1,8
42,2697,1287,209,24,263,33,27,6,12,6
43,1777,1658,181,260,294,9,28,10,1,6
44,10,784,228,432,84,143,32,34,3,3
45,1618,1912,726,495,296,113,58,6,1,7
46,2736,284,489,540,17,37,31,12,9,4
47,1119,586,60,511,129,98,41,2,15,3
48,2309,1878,745,129,309,20,43,1,10,1
49,758,755,1224,586,124,121,37,33,0,3
50,587,2476,931,603,225,76,63,20,4,4
51,4783,84,290,324,139,36,59,0,10,2
52,3091,460,101,74,89,39,62,30,15,2
53,3219,1334,616,327,159,103,17,23,5,1
54,3969,674,284,194,293,95,75,4,9,8
55,3193,1094,762,241,136,3,36,14,6,4
56,3108,1777,856,32,8,113,30,38,14,5
57,2428,520,716,49,298,146,71,38,8,5
58,1679,12,1091,88,295,132,5,31,12,2
59,1692,1040,1050,509,3,60,62,27,12,1
60,2729,914,155,473,33,0,46,5,13,3
61,2361,1165,1232,544,175,125,48,17,15,8
62,3343,1901,939,207,179,76,20,5,13,0
63,4930,2306,267,85,107,143,28,9,5,2
64,2025,2428,693,488,22,87,21,3,2,5
65,2504,2141,312,23,314,108,73,32,13,4
66,4817,544,1161,186,213,80,7,20,4,6
67,4379,156,582,283,40,51,55,17,1,2
68,69,791,1112,437,81,79,49,38,3,7
69,2018,1111,1081,520,108,149,14,19,10,7
70,4422,32,431,460,273,122,76,8,1,7
71,4329,1290,356,430,222,114,63,25,12,4
72,3461,10,353,331,232,155,36,25,13,2
73,3255,2309,812,341,108,75,45,7,4,8
74,5,421,760,170,301,72,12,15,3,0
